time/total_timesteps,rollout/ep_len_mean,train/actor_loss,time/time_elapsed,train/ent_coef,train/n_updates,train/ent_coef_loss,train/learning_rate,train/critic_loss,rollout/ep_rew_mean,time/episodes,time/fps
445774,1102.16,-16.562705993652344,10822,0.005078721325844526,445673,1.0079455375671387,0.0003,0.11464168131351471,296.85836300000005,460,41
449859,1094.89,-17.470787048339844,10924,0.00527997687458992,449758,2.0698025226593018,0.0003,0.10199359804391861,297.19045631,464,41
453963,1089.15,-16.76053237915039,11027,0.005345767829567194,453862,-1.5410176515579224,0.0003,2.3781747817993164,297.46040956999997,468,41
458040,1084.92,-18.68042755126953,11130,0.0051993681117892265,457939,0.15958863496780396,0.0003,0.23625484108924866,299.45339344,472,41
462069,1078.74,-18.8095760345459,11233,0.005212782882153988,461968,-0.07989650964736938,0.0003,0.05102111026644707,299.76252741,476,41
466126,1073.48,-18.547000885009766,11335,0.0053713652305305,466025,0.32772383093833923,0.0003,0.07119239866733551,300.07477192000005,480,41
470059,1065.9,-18.25290870666504,11433,0.00536842318251729,469958,-0.28332096338272095,0.0003,0.08431898057460785,300.42960105,484,41
473996,1059.49,-17.35567283630371,11532,0.005369821097701788,473895,0.7628951072692871,0.0003,2.114124298095703,300.75721437,488,41
477998,1053.49,-18.327903747558594,11633,0.0051735881716012955,477897,0.9472348690032959,0.0003,0.14834833145141602,300.95633055,492,41
481941,1047.05,-18.368282318115234,11732,0.005419028457254171,481840,-1.6637555360794067,0.0003,0.07224038243293762,301.26813295000005,496,41
485935,1041.01,-17.95886993408203,11832,0.005218764301389456,485834,0.35687941312789917,0.0003,0.13658297061920166,301.52650084000004,500,41
489892,1035.85,-18.133554458618164,11931,0.005449314136058092,489791,2.4100542068481445,0.0003,0.18899491429328918,301.82061681,504,41
493834,1031.31,-18.26690673828125,12030,0.005467361770570278,493733,0.8491037487983704,0.0003,0.3606202006340027,302.10038113,508,41
497714,1025.68,-18.492366790771484,12129,0.005500710569322109,497613,1.5271453857421875,0.0003,0.11938949674367905,302.4049834,512,41
501562,1018.57,-18.904951095581055,12225,0.005593606736510992,501461,-2.018441677093506,0.0003,0.12320777773857117,302.81348498,516,41
505382,1013.44,-19.28633689880371,12321,0.005418397951871157,505281,-0.13318851590156555,0.0003,0.11518369615077972,303.09444339000004,520,41
509252,1010.15,-19.796348571777344,12418,0.005280752666294575,509151,1.1079233884811401,0.0003,0.058228328824043274,303.33448702,524,41
513048,1005.18,-19.79256248474121,12513,0.005450982600450516,512947,1.1757354736328125,0.0003,0.08798885345458984,303.62715728999996,528,40
516814,1000.29,-19.507854461669922,12607,0.005542127415537834,516713,0.5675504803657532,0.0003,0.1188134253025055,303.91725725,532,40
520590,996.11,-19.991975784301758,12702,0.005598028190433979,520489,0.9839948415756226,0.0003,0.2111475169658661,304.18796512,536,40
524285,991.08,-19.83699607849121,12795,0.005495412275195122,524184,0.624042809009552,0.0003,0.09008742868900299,304.47294191,540,40
528009,987.29,-20.06389617919922,12888,0.005560548510402441,527908,-2.046570301055908,0.0003,0.11945696920156479,304.70654716,544,40
531703,983.03,-20.384693145751953,12980,0.00526819983497262,531602,1.0438494682312012,0.0003,0.09355776757001877,305.01620262,548,40
534617,970.81,-19.4775390625,13058,0.005471709184348583,534516,1.0043774843215942,0.0003,0.23280984163284302,301.43098713,552,40
538325,966.29,-20.83568572998047,13151,0.005486719310283661,538224,-0.1677568405866623,0.0003,0.04378962516784668,301.66205534,556,40
542038,962.64,-20.778366088867188,13244,0.005571323912590742,541937,0.5057944059371948,0.0003,0.09076500684022903,301.87090517,560,40
545695,958.36,-21.136171340942383,13336,0.0054567535407841206,545594,0.3716272711753845,0.0003,0.13577836751937866,302.04748556,564,40
549434,954.71,-21.392921447753906,13430,0.0055929371155798435,549333,-0.16191458702087402,0.0003,0.05884478613734245,302.28072930999997,568,40
553107,950.67,-22.444000244140625,13523,0.005412600468844175,553006,-0.13339540362358093,0.0003,0.07624796032905579,302.3975862,572,40
556729,946.6,-20.40695571899414,13614,0.005603037774562836,556628,-0.9580221176147461,0.0003,0.0758429765701294,302.60457836,576,40
560402,942.76,-21.21456527709961,13707,0.005839028395712376,560301,-0.07439833134412766,0.0003,0.054246120154857635,302.75049198000005,580,40
564072,940.13,-21.2675838470459,13801,0.005274508614093065,563971,0.9507091641426086,0.0003,0.12671232223510742,302.86923826,584,40
567710,937.14,-22.007884979248047,13893,0.005359990056604147,567609,-0.5177485942840576,0.0003,0.1036021038889885,302.98274455999996,588,40
571267,932.69,-22.75030517578125,13983,0.005441638641059399,571166,1.0839864015579224,0.0003,2.9497437477111816,303.24193687,592,40
574503,925.62,-20.843128204345703,14065,0.005425502546131611,574402,0.9228663444519043,0.0003,0.11627870798110962,300.96053446,596,40
578128,921.93,-21.39248275756836,14157,0.005419578868895769,578027,0.6853682398796082,0.0003,0.19597935676574707,301.07468381,600,40
581682,917.9,-21.974708557128906,14247,0.005672602914273739,581581,0.06415592133998871,0.0003,5.812646865844727,301.28404706000003,604,40
585247,914.13,-21.97943115234375,14337,0.005676669534295797,585146,0.5013720989227295,0.0003,0.2588459849357605,301.39663439000003,608,40
588727,910.13,-21.888885498046875,14425,0.00552325090393424,588626,-1.5034844875335693,0.0003,0.1435249149799347,301.57682453,612,40
592314,907.52,-22.457447052001953,14521,0.005546471104025841,592213,0.710462749004364,0.0003,2.596067428588867,301.68076795,616,40
