time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/episodes,train/critic_loss,train/learning_rate,train/n_updates,train/actor_loss
8932,335590,382.42,165.11464214,37,712,2.246941089630127,0.001,325589,-9.683884620666504
8988,337366,383.29,164.85489348,37,716,2.56817364692688,0.001,327365,-10.649023056030273
9025,338585,384.69,162.76054857,37,720,5.101761817932129,0.001,328584,-10.698568344116211
9058,339643,385.13,166.19805239000004,37,724,17.95449447631836,0.001,329642,-10.145216941833496
9122,341701,388.3,163.60736153,37,728,3.6136934757232666,0.001,331700,-10.846138000488281
9185,343742,389.84,162.84567329,37,732,4.793889999389648,0.001,333741,-11.686619758605957
9216,344730,386.49,162.27927611,37,736,22.970516204833984,0.001,334729,-10.694117546081543
9252,345899,385.78,167.70692704,37,740,42.50459289550781,0.001,335898,-10.558526992797852
9289,347097,379.27,173.84735152999997,37,744,4.679049491882324,0.001,337096,-8.633403778076172
9324,348216,371.33,172.10154774,37,748,6.199679374694824,0.001,338215,-10.643235206604004
9368,349642,372.9,166.70537731999997,37,752,2.5787010192871094,0.001,339641,-11.976058959960938
9413,351089,372.04,169.36195777,37,756,17.7067813873291,0.001,341088,-12.852648735046387
9447,352191,367.16,170.07597044000002,37,760,3.8832411766052246,0.001,342190,-12.617554664611816
9504,354021,368.67,170.34535444000002,37,764,10.552472114562988,0.001,344020,-9.342724800109863
9547,355415,372.19,169.54493624,37,768,3.6828715801239014,0.001,345414,-15.471467018127441
9614,357554,383.02,177.70606829,37,772,10.709901809692383,0.001,347553,-12.761453628540039
9665,359213,386.71,182.43348943,37,776,5.902683258056641,0.001,349212,-11.896900177001953
9729,361269,392.46,184.18461220999998,37,780,64.07747650146484,0.001,351268,-14.946796417236328
9772,362661,392.71,186.23068144,37,784,18.182601928710938,0.001,352660,-14.166010856628418
9842,364914,392.9,177.23069333000004,37,788,25.304210662841797,0.001,354913,-13.696914672851562
9893,366571,394.28,174.5578151,37,792,5.593330383300781,0.001,356570,-15.580401420593262
9940,368084,397.34,172.57630293000003,37,796,5.881353855133057,0.001,358083,-15.184432983398438
10009,370305,407.46,170.70790579,36,800,10.426891326904297,0.001,360304,-15.04861831665039
10087,372802,415.75,175.21612644,36,804,13.658561706542969,0.001,362801,-13.36445140838623
10165,375336,423.74,181.61314982000005,36,808,3.7780189514160156,0.001,365335,-14.0114164352417
10204,376592,410.02,187.48704205,36,812,59.15462112426758,0.001,366591,-15.60409164428711
10301,379695,423.29,181.44889424000002,36,816,6.474047660827637,0.001,369694,-14.584213256835938
10343,381027,424.42,183.35714517,36,820,3.8952255249023438,0.001,371026,-16.142370223999023
10411,383216,435.73,178.62134845999998,36,824,15.565227508544922,0.001,373215,-14.83863639831543
10454,384578,428.77,184.09801238000003,36,828,3.6214730739593506,0.001,374577,-16.499996185302734
10480,385426,416.84,184.99646285,36,832,3.9817590713500977,0.001,375425,-13.216577529907227
10515,386552,418.22,184.64637817000002,36,836,8.762628555297852,0.001,376551,-15.231325149536133
10572,388339,424.4,181.85840439000003,36,840,5.945184707641602,0.001,378338,-13.975732803344727
10631,390237,431.4,176.09658142000004,36,844,40.2774658203125,0.001,380236,-14.857147216796875
10670,391477,432.61,176.13563413,36,848,24.947471618652344,0.001,381476,-12.614290237426758
10694,392260,426.18,177.08825041,36,852,7.198050498962402,0.001,382259,-14.572234153747559
10728,393346,422.57,172.20333469000002,36,856,3.508641242980957,0.001,383345,-15.632920265197754
10765,394521,423.3,171.86385448,36,860,3.916013717651367,0.001,384520,-12.78805160522461
10797,395543,415.22,171.99212575,36,864,49.86550521850586,0.001,385542,-16.10434913635254
10821,396324,409.09,170.20203206,36,868,25.219337463378906,0.001,386323,-12.916698455810547
10850,397237,396.83,173.26117628,36,872,34.84878921508789,0.001,387236,-15.385271072387695
10902,398902,396.89,168.06016914999998,36,876,6.422825813293457,0.001,388901,-9.98947525024414
