rollout/ep_len_mean,time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/fps,time/time_elapsed,train/critic_loss,train/learning_rate,train/ent_coef,train/actor_loss,train/n_updates
787.06,560959,712,86.09497823,46,12154,0.6345475912094116,0.0003,0.10000000149011612,-1.5290485620498657,550958
780.28,563187,716,86.56726105,46,12204,1.6071066856384277,0.0003,0.10000000149011612,2.0255696773529053,553186
765.73,564964,720,90.43239588000002,46,12244,0.822253942489624,0.0003,0.10000000149011612,-2.337789535522461,554963
760.32,567022,724,93.38518309000003,46,12290,0.5008659958839417,0.0003,0.10000000149011612,0.3935774862766266,557021
760.52,569884,728,94.54114529999998,46,12354,2.216442108154297,0.0003,0.10000000149011612,-1.5517840385437012,559883
749.1,572242,732,100.23415152000001,46,12407,1.0335180759429932,0.0003,0.10000000149011612,-0.2590677738189697,562241
725.35,573603,736,107.95149735000001,46,12438,1.5119850635528564,0.0003,0.10000000149011612,-2.3519880771636963,563602
703.18,574815,740,115.06197382999999,46,12465,0.6830436587333679,0.0003,0.10000000149011612,-1.7785205841064453,564814
702.63,577309,744,117.42346128000001,46,12521,3.898998737335205,0.0003,0.10000000149011612,-1.3531445264816284,567308
683.3,579376,748,124.20468102,46,12567,0.7215681076049805,0.0003,0.10000000149011612,-1.1454942226409912,569375
671.45,582191,752,129.53943362,46,12631,0.8752800226211548,0.0003,0.10000000149011612,-1.4420157670974731,572190
649.03,583178,756,135.42357226000001,46,12653,0.7962000370025635,0.0003,0.10000000149011612,-1.0084805488586426,573177
642.0,585428,760,136.83985155,46,12703,3.6293232440948486,0.0003,0.10000000149011612,-3.3328285217285156,575427
613.09,586537,764,147.11422828000002,46,12728,1.727311372756958,0.0003,0.10000000149011612,-7.098300457000732,576536
599.16,587863,768,148.97549705,46,12758,3.9378957748413086,0.0003,0.10000000149011612,-7.307369232177734,577862
599.35,589804,772,152.56345743,46,12801,1.737882137298584,0.0003,0.10000000149011612,-8.155875205993652,579803
581.49,590901,776,161.52409704,46,12826,3.525750160217285,0.0003,0.10000000149011612,-7.598625183105469,580900
558.91,591898,780,167.07190092000002,46,12848,10.316245079040527,0.0003,0.10000000149011612,-12.031850814819336,581897
530.66,593023,784,176.46429608,46,12874,9.208131790161133,0.0003,0.10000000149011612,-7.9864821434021,583022
517.67,594011,788,185.46623297999997,46,12896,2.5631422996520996,0.0003,0.10000000149011612,-8.717280387878418,584010
499.89,595664,792,192.33271461,46,12933,15.665715217590332,0.0003,0.10000000149011612,-12.384921073913574,585663
477.38,596702,796,198.9816301,46,12956,2.943922996520996,0.0003,0.10000000149011612,-10.811392784118652,586701
461.38,598437,800,202.25978522999998,46,12995,2.2733359336853027,0.0003,0.10000000149011612,-12.0078763961792,588436
445.87,599318,804,208.29136079000003,46,13015,3.050279140472412,0.0003,0.10000000149011612,-17.87196922302246,589317
