time/total_timesteps,rollout/exploration_rate,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/loss,train/learning_rate,time/episodes,time/fps,train/n_updates
285359,0.05,927.26,322,-6.676484790000001,0.7865743637084961,0.0001,868,883,71314
288558,0.05,919.25,326,-3.7988598400000013,0.38333365321159363,0.0001,872,882,72114
292297,0.05,916.64,331,-1.5309581300000012,0.27241384983062744,0.0001,876,882,73049
295001,0.05,904.25,334,1.9559443799999985,0.29504793882369995,0.0001,880,881,73725
297697,0.05,891.21,337,5.924320569999997,0.2615927457809448,0.0001,884,881,74399
300284,0.05,877.08,340,7.759098169999999,1.1127771139144897,0.0001,888,880,75045
302404,0.05,858.28,343,12.120467999999999,0.6846714019775391,0.0001,892,880,75575
304941,0.05,847.44,346,15.540076189999997,0.9328970909118652,0.0001,896,880,76210
308569,0.05,843.72,350,21.0676043,0.3803800940513611,0.0001,900,879,77117
311418,0.05,832.21,354,30.35236769,1.1204136610031128,0.0001,904,879,77829
314089,0.05,818.92,357,34.198805809999996,0.43052467703819275,0.0001,908,878,78497
317201,0.05,810.04,361,40.99985885,0.6536088585853577,0.0001,912,878,79275
320773,0.05,806.76,365,44.04536641000001,0.41558676958084106,0.0001,916,877,80168
324231,0.05,806.17,369,43.63439744,0.4036944806575775,0.0001,920,877,81032
326867,0.05,794.86,372,41.589173020000004,1.5059610605239868,0.0001,924,877,81691
328490,0.05,778.1,374,44.83768401,0.9453381299972534,0.0001,928,876,82097
330734,0.05,764.47,377,50.99700664,1.6232131719589233,0.0001,932,876,82658
332267,0.05,743.9,379,53.106999179999995,0.3925209939479828,0.0001,936,876,83041
334914,0.05,743.46,382,56.319308570000004,0.806414008140564,0.0001,940,876,83703
336173,0.05,720.57,383,55.794770449999994,0.2564978301525116,0.0001,944,875,84018
338246,0.05,701.3,386,58.148508570000004,1.3236262798309326,0.0001,948,875,84536
340779,0.05,692.21,389,56.29294251,0.5658021569252014,0.0001,952,875,85169
343404,0.05,687.9,392,54.97763027,0.260655015707016,0.0001,956,874,85825
346817,0.05,686.16,396,55.233567410000006,1.4599595069885254,0.0001,960,874,86679
350209,0.05,685.23,400,55.00613756000001,0.310183048248291,0.0001,964,874,87527
352611,0.05,672.52,403,59.293709050000004,0.17206065356731415,0.0001,968,873,88127
355619,0.05,670.61,407,60.81347405,0.21537914872169495,0.0001,972,873,88879
358756,0.05,664.59,410,63.36601034000001,1.046445369720459,0.0001,976,873,89663
362043,0.05,670.42,414,58.64731189000001,0.4115969240665436,0.0001,980,872,90485
364300,0.05,666.03,417,64.32462679,2.198633909225464,0.0001,984,872,91049
367592,0.05,673.08,421,65.09280035,0.40525978803634644,0.0001,988,872,91872
370615,0.05,682.11,425,68.27138441,0.506508469581604,0.0001,992,871,92628
374615,0.05,696.74,429,63.86640498,0.36742696166038513,0.0001,996,871,93628
377845,0.05,692.76,433,58.79818561,0.3215402662754059,0.0001,1000,871,94436
380611,0.05,691.93,437,51.63397774999999,0.39131492376327515,0.0001,1004,870,95127
384611,0.05,705.22,441,49.327162519999995,5.8769307136535645,0.0001,1008,870,96127
388611,0.05,714.1,446,43.772080349999996,0.7045341730117798,0.0001,1012,869,97127
392611,0.05,718.38,451,40.75880806,0.639295220375061,0.0001,1016,869,98127
395898,0.05,716.67,455,39.789288230000004,1.4255768060684204,0.0001,1020,869,98949
399898,0.05,730.31,460,39.07143201,0.2121332585811615,0.0001,1024,868,99949
